,Year,Title,Director,Production_Company,Worldwide gross revenue,Inflation adjusted gross,Footfalls,Original language
64,1960,Mughal-e-Azam,K. Asif,Sterling Investment Corporation,₹11 crore ($23.1 million),"₹2,503 crore (US$310 million) in 2020",100 million+,HindiUrdu
65,1959,Char Dil Char Rahen,Khwaja Ahmad Abbas,Naya Sansar,₹5.27 crore ($11.06 million),₹733 crore ($99 million) in 2021,39.8 million+,Hindi
66,1958,Madhumati,Bimal Roy,Bimal Roy Productions,₹4 crore ($8.4 million),₹585 crore ($79 million) in 2021,30 million+,Hindi
67,1957,Mother India,Mehboob Khan,Mehboob Productions,₹8 crore+ ($16.8 million+),"₹1,907 crore (US$240 million) in 2020",100 million+,Hindustani
68,1956,Jagte Raho,Sombhu MitraAmit Maitra,R. K. Films,₹4.44 crore ($9.33 million),₹593 crore ($80 million) in 2021,33.6 million+,HindiBengali
69,1955,Pather Panchali,Satyajit Ray,Government of West Bengal,₹10 crore ($21 million),₹567 crore (US$71 million) in 2020,,Bengali
70,1954,Nagin,Nandlal Jaswantlal,Filmistan,₹2.9 crore ($6 million),₹452 crore ($61 million) in 2021,30 million,Hindi
71,1953,Anarkali,Nandlal Jaswantlal,Filmistan,₹2.35 crore ($4.93 million),₹370 crore ($50 million) in 2021,29 million+,Hindustani
72,1952,Aan,Mehboob Khan,Mehboob Productions,₹3.57 crore ($6.04 million),₹459 crore ($62 million) in 2021,30 million+,Hindustani
73,1951,Awaara,Raj Kapoor,R. K. Films,₹15.61 crore ($30.66 million),"₹1,896 crore ($256 million) in 2021",230 million,Hindustani
74,1950,Samadhi,Ramesh Saigal,—,₹1.35 crore ($2.8 million),₹237 crore ($32 million) in 2021,15 million+,Hindustani
75,1949,Barsaat,Raj Kapoor,R. K. Films,₹2 crore ($4 million),₹341 crore ($46 million) in 2021,30 million,Hindustani
76,1948,Chandralekha,S. S. Vasan,Gemini Studios,₹1.55 crore ($3.24 million),₹274 crore ($37 million) in 2021,30 million,TamilHindustani
77,1947,Jugnu,Shaukat Hussain Rizvi,Shaukat Art Productions,₹50 lakh ($5 million),₹452 crore ($61 million) in 2021,10 million+,Hindustani
78,1946,Anmol Ghadi,Mehboob Khan,Mehboob Productions,₹1 crore ($3.02 million),₹311 crore ($42 million) in 2021,32.5 million,Hindustani
79,1945,Zeenat,Shaukat Hussain Rizvi,Eastern Pictures,₹70 lakh ($2.12 million),₹237 crore ($32 million) in 2021,14 million+,Hindustani
80,1944,Rattan,M. Sadiq,Gemini Pictures,₹1 crore ($3.03 million),₹348 crore ($47 million) in 2021,35 million+,Hindustani
81,1943,Kismet,Gyan Mukherjee,Bombay Talkies,₹1 crore ($3.32 million),₹385 crore ($52 million) in 2021,35 million+,Hindustani
82,1942,Basant,Amiya Chakrabarty,Bombay Talkies,₹80 lakh ($2.42 million),₹296 crore ($40 million) in 2021,30 million,Hindustani
83,1941,Khazanchi,Moti B. Gidwani,Pancholi Art Pictures,₹70 lakh ($2.12 million),₹289 crore ($39 million) in 2021,30 million,Hindustani
84,1940,Zindagi,P. C. Barua,New Theatres,₹55 lakh ($1.58 million),₹230 crore ($31 million) in 2021,11 million+,Hindustani
